step,joint_2_rad,joint_2_deg
143,-3.008733034133911,-172.38785014725156
144,-3.012183666229248,-172.58555696996257
145,-3.0164222717285156,-172.82841138122188
146,-3.021768808364868,-173.13474562424642
147,-3.025479316711426,-173.34734227192493
148,-3.0282468795776367,-173.50591207763415
149,-3.0337727069854736,-173.82251893384728
150,-3.0347843170166016,-173.8804799681016
151,-3.0406148433685303,-174.2145448025794
152,-3.0438358783721924,-174.39909666983746
153,-3.0449788570404053,-174.4645845789148
154,-3.0503811836242676,-174.7741153531709
155,-3.050096035003662,-174.75777752687625
156,-3.0525622367858887,-174.8990805997791
157,-3.0590949058532715,-175.27337528244897
158,-3.056875467300415,-175.14621071307036
159,-3.0584068298339844,-175.23395139725974
160,-3.0596251487731934,-175.30375598953867
161,-3.060199737548828,-175.3366775291458
162,-3.05819034576416,-175.2215477632501
163,-3.0714240074157715,-175.97978136384407
164,-3.0664992332458496,-175.69761235051453
165,-3.0746071338653564,-176.16216122911143
166,-3.0678367614746094,-175.77424713773271
167,-3.0682973861694336,-175.8006390109779
168,-3.0686252117156982,-175.81942204706078
169,-3.068822145462036,-175.8307055291004
170,-3.0688936710357666,-175.83480364606393
171,-3.0689029693603516,-175.8353364012692
172,-3.0689074993133545,-175.83559594867688
173,-3.0689141750335693,-175.83597843959348
174,-3.0689189434051514,-175.83625164739107
175,-3.068923234939575,-175.83649753440886
176,-3.0689306259155273,-175.8369210064951
177,-3.0689330101013184,-175.83705761039388
178,-3.0689380168914795,-175.83734447858134
179,-3.068941116333008,-175.83752206364974
180,-3.0689451694488525,-175.8377542902777
181,-3.0689475536346436,-175.83789089417647
182,-3.0689520835876465,-175.83815044158416
183,-3.0689570903778076,-175.83843730977162
184,-3.0689587593078613,-175.83853293250075
185,-3.0689597129821777,-175.83858757406028
186,-3.0689637660980225,-175.8388198006882
187,-3.068963050842285,-175.83877881951858
188,-3.0723352432250977,-176.03199137395956
189,-3.0723321437835693,-176.03181378889113
190,-3.072333812713623,-176.0319094116203
191,-3.0677220821380615,-175.76767649020118
192,-3.060657024383545,-175.36287815693268
193,-3.053802251815796,-174.97012828753697
194,-3.046668767929077,-174.56140942237334
195,-3.0395572185516357,-174.15394731307856
196,-3.0324606895446777,-173.7473458083461
197,-3.0253844261169434,-173.3419054367533
198,-3.0183231830596924,-172.93732566972287
199,-3.011276960372925,-172.53360650725477
200,-3.0016672611236572,-171.98301083281342
201,-2.9947826862335205,-171.5885534146829
202,-2.987931728363037,-171.19602211152528
203,-2.9811155796051025,-170.80548522528989
204,-2.976248025894165,-170.52659470553118
205,-2.9713382720947266,-170.245286296764
206,-2.9639787673950195,-169.8236173819956
207,-2.952566146850586,-169.16972183929332
208,-2.950442314147949,-169.04803508625596
209,-2.9393818378448486,-168.4143159394042
210,-2.9332094192504883,-168.06066210584063
211,-2.928605556488037,-167.79687997728752
212,-2.9190175533294678,-167.24752739832513
213,-2.915618896484375,-167.05279854060763
214,-2.9035894870758057,-166.36356356928977
215,-2.903242588043213,-166.3436877020166
216,-2.8972208499908447,-165.99866723485627
217,-2.886249542236328,-165.37005707381903
218,-2.8793299198150635,-164.97359157837639
219,-2.8769168853759766,-164.83533477241645
